ID	T	d	DEPARTAMENTO	MACROSECTOR	CATEGORIA	ACTIVO	PASIVO	EMPLEOS
3879	2	0	ANTIOQUIA	MANUFACTURA	C	3453593	2511534	18
3880	0	0	BOGOTA	CONSTRUCCION	C	9099359	6726100	112
3881	0	0	ANTIOQUIA	TRANSPORTE	C	2614145	1214432	2
3882	6	0	ANTIOQUIA	COMERCIO	C	255526	120019	8
3883	0	1	ATLANTICO	SERVICIOS	C	1387967	1909524	20
3884	0	0	ANTIOQUIA	AGROPECUARIO	C	3841078	3831249	54
3885	0	0	ANTIOQUIA	MANUFACTURA	C	7867138	2425638	1
3886	1	0	CESAR	CONSTRUCCION	C	2575029	1504028	0
3887	1	0	BOGOTA	COMERCIO	C	3088442	4018993	3
3888	0	0	BOGOTA	SERVICIOS	C	688036	1085286	0
3889	2	0	CUNDINAMARCA	SERVICIOS	C	655803	340634	6
3890	2	0	ANTIOQUIA	HIDROCARBUROS	B	27419574	15294535	3
3891	1	0	VALLE	CONSTRUCCION	C	2233923	1729692	8
3892	1	1	RISARALDA	MANUFACTURA	C	1824618	1299058	1
3893	1	0	VALLE	COMERCIO	C	3116503	3164208	3
3894	0	0	ANTIOQUIA	COMERCIO	C	1004688	955891	21
3895	2	1	SANTANDER	COMERCIO	C	2140397	559459	1
3896	1	0	VALLE	MANUFACTURA	C	1684197	961833	1
3897	3	0	CESAR	SERVICIOS	C	1571681	1026780	2
3898	1	0	BOGOTA	CONSTRUCCION	C	12355054	8451910	2
3899	3	0	BOGOTA	SERVICIOS	C	570468	550317	4
3900	1	0	ATLANTICO	COMERCIO	C	182043	196901	0
3901	2	0	BOGOTA	SERVICIOS	C	1128268	1193475	1
3902	3	1	ANTIOQUIA	TRANSPORTE	A	64545232	33232730	1
3903	0	0	ATLANTICO	SERVICIOS	C	3161836	1501212	3
3904	3	0	SANTANDER	SinInf	C	17809976	13300419	1
3905	2	0	BOGOTA	SERVICIOS	C	3302748	6463833	292
3906	1	0	VALLE	COMERCIO	C	4172768	2812288	5
3907	0	1	ATLANTICO	CONSTRUCCION	B	11420221	7157216	6
3908	0	0	VALLE	COMERCIO	C	10433785	3862729	1
3909	1	0	BOGOTA	MANUFACTURA	C	1111215	942801	10
3910	0	0	BOGOTA	CONSTRUCCION	C	838292	349003	0
3911	2	0	BOLIVAR	COMERCIO	C	4411916	3410171	22
3912	0	0	SANTANDER	CONSTRUCCION	C	143413892	1557695443	1
3913	0	0	ANTIOQUIA	SERVICIOS	C	11412803	6644110	1
3914	0	0	BOGOTA	CONSTRUCCION	C	305585	447635	0
3915	1	0	MAGDALENA	COMERCIO	C	3500769	3056058	8
3916	1	0	SANTANDER	AGROPECUARIO	C	1915774	1810267	1
3917	2	0	BOGOTA	SERVICIOS	C	323293	273470	1
3918	0	1	VALLE	MANUFACTURA	C	429674948	712498054	1
3919	4	0	CESAR	TRANSPORTE	C	1589413	1141628	1
3920	1	0	BOGOTA	SERVICIOS	C	564566	536050	0
3921	1	0	BOGOTA	COMERCIO	C	3409359	5582216	36
3922	0	0	ANTIOQUIA	MANUFACTURA	C	2899254	2790550	22
3923	1	0	CUNDINAMARCA	MANUFACTURA	B	19125487	7671518	1
3924	4	0	BOYACA	MANUFACTURA	C	3508890	2519431	6
3925	1	0	BOGOTA	SERVICIOS	C	238310	824446	9
3926	3	0	BOGOTA	SERVICIOS	C	1147140	152452	3
3927	3	1	BOGOTA	SERVICIOS	C	978283	1656457	1
3928	3	0	VALLE	SERVICIOS	C	440807	324714	2
3929	0	0	BOGOTA	COMERCIO	B	14282649	9523983	0
3930	3	1	BOGOTA	SERVICIOS	C	2172448	1306404	1
3931	2	0	CASANARE	CONSTRUCCION	C	7801336	6181178	3
3932	5	0	BOGOTA	SERVICIOS	C	534197	465987	7
3933	1	0	BOLIVAR	COMERCIO	C	3580418	2231322	13
3934	4	0	ANTIOQUIA	MANUFACTURA	C	5059374	3130967	0
3935	2	1	BOGOTA	MANUFACTURA	C	324064	714214	1
3936	0	0	BOGOTA	COMERCIO	C	689493	2532072	0
3937	0	0	BOGOTA	COMERCIO	B	18694925	16976793	35
3938	1	0	VALLE	MANUFACTURA	C	1657773	768939	1
3939	2	1	VALLE	CONSTRUCCION	C	19109270	31316394	8
3940	0	0	VALLE	COMERCIO	B	35229128	21098173	1
